,toilets,beds,baths,rent,city,room_index
183,1,0,1,400000,Lugbe,2
184,5,4,4,7500000,Asokoro,13
185,5,4,4,6000000,Jahi,13
186,4,3,3,2500000,,10
187,3,2,2,2500000,,7
188,6,5,5,8000000,,16
189,5,4,4,6000000,Jahi,13
190,6,5,5,7500000,Mabushi,16
191,4,3,4,2300000,,11
192,3,2,3,1800000,,8
193,0,3,0,2300000,Lokogoma,3
195,0,2,3,2000000,,5
196,0,3,4,2300000,Lokogoma,7
197,0,0,0,600000,Lokogoma,0
198,0,4,4,16000000,Maitama,8
200,0,3,3,10000000,Maitama,6
201,0,4,4,15000000,Maitama,8
202,0,0,0,700000,,0
203,3,2,3,1800000,,8
204,3,2,3,1200000,Kubwa,8
205,3,2,3,1200000,Kubwa,8
206,3,3,3,3000000,Jahi,9
207,1,0,1,1000000,Jahi,2
